tool_name,n,mean_score,score3_rate,negative_rate
Webit Language&&Break Sentence,1,1.0,0.0,0.0
diff,1,1.0,0.0,0.0
named-entity-recognition,1,1.0,0.0,0.0
named_entity_extraction,1,1.0,0.0,0.0
named_entity_recognition,1,1.0,0.0,0.0
ner,1,1.0,0.0,0.0
requests,1,1.0,0.0,0.0
terrode&&default,1,1.0,0.0,0.0
<<Sentiment Analysis&&sentence>>,1,-3.0,0.0,100.0
<<Text Analyzer API&&analyze>>,1,-3.0,0.0,100.0
<<User Intents Extractor&&/api/analyze_text>>,1,-3.0,0.0,100.0
Gangster Speak Translator API&&Translate,1,-3.0,0.0,100.0
General Image Detection&&Analyze Image,1,-3.0,0.0,100.0
Language_Detection_v1_lang_detect_post,1,-3.0,0.0,100.0
check_weather,1,-3.0,0.0,100.0
customer_review_analysis,1,-3.0,0.0,100.0
weather_query,1,-3.0,0.0,100.0
