tool_name,n,mean_score,score3_rate,negative_rate
Geometric Calculation&&Voronoi Diagram,3,0.3333,0.0,33.33
Report Insight Test&&Analysis,3,-0.3333,0.0,33.33
Sentiment & Language Detection (AI)&&Detect Tags,3,-0.3333,0.0,33.33
TextGears&&Spell checker,3,-0.3333,0.0,33.33
Lingulab&&Get Help,3,-1.3333,0.0,66.67
Spellcheck + Tokenization + Wordbreak&&GET/v1/spellcheck,3,-1.3333,0.0,66.67
Gramma Error&&default,3,-1.6667,0.0,66.67
Lab2&&Incognito Location,3,-1.6667,0.0,66.67
Numbers&&Get math fact,3,-1.6667,0.0,66.67
PFun CMA Model API&&/run,3,-1.6667,0.0,66.67
PFun CMA Model API&&/run-at-time,3,-1.6667,0.0,66.67
Twinword Text Analysis Bundle&&Extract (post),3,-1.6667,0.0,66.67
Twinword Text Analysis Bundle&&Text Similarity (post),3,-1.6667,0.0,66.67
demo&&api,3,-1.6667,0.0,66.67
detect sentence&&default,3,-1.6667,0.0,66.67
BAS-IP multiapartment panels&&/access/general/lock/delay/{lockNumber},3,-3.0,0.0,100.0
BAS-IP multiapartment panels&&/access/general/lock/timeout/{lockNumber},3,-3.0,0.0,100.0
BAS-IP multiapartment panels&&/access/timeprofile/link/sensor,3,-3.0,0.0,100.0
BAS-IP multiapartment panels&&/device/call/talk/timeout,3,-3.0,0.0,100.0
Book Finder&&Find books,3,-3.0,0.0,100.0
CatchLoc&&[Group Management] API access for Group's device list,3,-3.0,0.0,100.0
Date Calculator&&year_fractions,3,-3.0,0.0,100.0
DeepShifter&&Uniswap Quote,3,-3.0,0.0,100.0
EntreAPI Faker&&Replace Credit Card Symbols,3,-3.0,0.0,100.0
Gangster Speak Translator API&&Translate,3,-3.0,0.0,100.0
IMAGE CAPTCHA SOLVER  Daddy&&Solve,3,-3.0,0.0,100.0
Jibber Analyzer&&Analyze (English),3,-3.0,0.0,100.0
Jibber Analyzer&&Analyze (French),3,-3.0,0.0,100.0
Jibber Analyzer&&Analyze (Spanish),3,-3.0,0.0,100.0
Kiann_Options_Project&&opt_vega,3,-3.0,0.0,100.0
MapboxDirection&&getOptimalDrivingTraffic,3,-3.0,0.0,100.0
Neural Painting&&Image,3,-3.0,0.0,100.0
Neural Painting&&Video,3,-3.0,0.0,100.0
News Classification&&News Topic Modelling,3,-3.0,0.0,100.0
PayPal&&simulateWebhookEvent,3,-3.0,0.0,100.0
Profanity Detector&&check,3,-3.0,0.0,100.0
Randomath&&Random divison,3,-3.0,0.0,100.0
Riddlie &&Create New Riddle (Admin Only),3,-3.0,0.0,100.0
Riddlie &&Riddle by Difficulty Level,3,-3.0,0.0,100.0
Riddlie &&Riddle by ID,3,-3.0,0.0,100.0
String in Reversed&&default,3,-3.0,0.0,100.0
Travelling Salesman&&exampleProblem,3,-3.0,0.0,100.0
Users&&test,3,-3.0,0.0,100.0
Video Builder&&video/create,3,-3.0,0.0,100.0
VisualInfo&&Analyze,3,-3.0,0.0,100.0
WordOfTheDay&&GET WordOfTheDay,3,-3.0,0.0,100.0
Yahoo Finance&&options,3,-3.0,0.0,100.0
plot2txt&&Kernel,3,-3.0,0.0,100.0
reverse&&default,3,-3.0,0.0,100.0
teamriverbubbles random utilities&&kd calculator,3,-3.0,0.0,100.0
word cloud&&search,3,-3.0,0.0,100.0
CrystalFeel API&&crystal_lace,2,3.0,100.0,0.0
GrammarBot Neural&&check,2,3.0,100.0,0.0
GrammarBot&&check,2,3.0,100.0,0.0
Link Safe API&&Solve Text,2,3.0,100.0,0.0
MonkeyLearn&&classify,2,3.0,100.0,0.0
Nomen Loco&&score,2,3.0,100.0,0.0
Regim&&Dominant colors,2,3.0,100.0,0.0
Similar Movies&&find similar,2,3.0,100.0,0.0
Similar Movies&&get Id,2,3.0,100.0,0.0
Tables OCR&&Tables,2,3.0,100.0,0.0
Text2Table&&text2table,2,3.0,100.0,0.0
Webit Language&&Analyze Grammar,2,3.0,100.0,0.0
WindSchedulingAPI&&scheduling demo,2,3.0,100.0,0.0
Color Extractor for Apparel 2&&/colors,2,2.5,50.0,0.0
Geneea Interpretor NLP&&Sentiment,2,2.5,50.0,0.0
Similarity Compare&&default,2,2.5,50.0,0.0
Text Classification&&class-2.0,2,2.5,50.0,0.0
FinancAI&&Named Entities Recognition,2,2.0,50.0,0.0
Geometric Calculation&&Is Convex Polygon,2,2.0,0.0,0.0
Semantic Analysis&&Text_Analysis_v1_text_analysis_post,2,2.0,0.0,0.0
Paraphrase Genius&&Paraphrase,2,1.5,0.0,0.0
People Also Ask API&&People also ask,2,1.5,0.0,0.0
Pro Chem&&/academicapi/echo,2,1.5,0.0,0.0
solswtestapi&&Division,2,1.5,0.0,0.0
Fast Text Similarity&&Fast Text Similarity,2,1.0,0.0,0.0
Lingulab&&Get Result,2,1.0,0.0,0.0
Semantic Analysis&&Text_Categorization_v1_text_categorize_post,2,1.0,0.0,0.0
data-extractor&&extract-all,2,1.0,0.0,0.0
AIception&&getDetectObjectTask,2,0.0,50.0,50.0
General Image Detection&&Analyze Image,2,0.0,50.0,50.0
Grammar and Spellcheck&&test,2,0.0,50.0,50.0
Real-Time Lens Data&&Object Detection,2,0.0,50.0,50.0
Geofencing&&Polygon,2,-0.5,0.0,50.0
Geofencing&&Polygon Batch,2,-0.5,0.0,50.0
Geometric Calculation&&Polygon Triangulation,2,-0.5,0.0,50.0
Humor-Jokes-and-Memes&&analyze-joke,2,-0.5,0.0,50.0
ID Verify&&/GetArchiveReport,2,-0.5,0.0,50.0
ID Verify&&/GetReport,2,-0.5,0.0,50.0
Sentiment Analysis Portuguese BR&&Sentiment,2,-0.5,0.0,50.0
Simple Math Problems&&Get Multiplication Problems,2,-0.5,0.0,50.0
Simulately Roll&&default,2,-0.5,0.0,50.0
Geometric Calculation&&Polygon Overlap,2,-1.0,0.0,50.0
Geometric Calculation&&Rectangle Packing,2,-1.0,0.0,50.0
Language Tools&&/rephrase-joke,2,-1.0,0.0,50.0
Poke&&getPokemonColorByName,2,-1.0,0.0,50.0
Sharp Odds Maker API&&Calculate Basic Odds - Uses 1 Call,2,-1.0,0.0,50.0
Spotify Data&&artist-related,2,-1.0,0.0,50.0
TheClique&&Filmography,2,-1.0,0.0,50.0
Time Travel&&default,2,-1.0,0.0,50.0
Treediff&&merge,2,-1.0,0.0,50.0
Unicode Obfuscator&&sdf,2,-1.0,0.0,50.0
geojoins&&covers,2,-1.0,0.0,50.0
retrieve info&&Get random joke,2,-1.0,0.0,50.0
retrieve info&&Submit a joke for approval,2,-1.0,0.0,50.0
retrieve info&&Upvote a joke,2,-1.0,0.0,50.0
timet&&default,2,-1.0,0.0,50.0
travel velocity and distance&&default,2,-1.0,0.0,50.0
AI Face Swap&&swap,2,-3.0,0.0,100.0
AdVerifai-es&&source_check,2,-3.0,0.0,100.0
Ball&&Football,2,-3.0,0.0,100.0
Book Discovery by ReadsOmnia&&Amazon Bestsellers List,2,-3.0,0.0,100.0
Book Discovery by ReadsOmnia&&Barnes & Noble Book Blockbusters,2,-3.0,0.0,100.0
Book Discovery by ReadsOmnia&&HarperCollins Global Publisher Bestsellers,2,-3.0,0.0,100.0
Book Discovery by ReadsOmnia&&Random House Global Publisher Bestsellers,2,-3.0,0.0,100.0
CatchLoc&&[Group Management] API access for modifying group information,2,-3.0,0.0,100.0
Dammy-Task&&Updatetask,2,-3.0,0.0,100.0
Dammy-Task&&deletetask,2,-3.0,0.0,100.0
Dammy-Task&&deleteuser,2,-3.0,0.0,100.0
DeepL API&&Translate,2,-3.0,0.0,100.0
DocTop&&German topics,2,-3.0,0.0,100.0
Emlalock&&AddMinimumRandom,2,-3.0,0.0,100.0
Face Compare&&Face Compare,2,-3.0,0.0,100.0
Face Swap&&swap,2,-3.0,0.0,100.0
Face Swapper&&swap,2,-3.0,0.0,100.0
Fast Text Toxicity Detection&&Get Text Toxicity,2,-3.0,0.0,100.0
Formula 1 - fixed&&Listoffinishingstatusforaspecificroundinaseason,2,-3.0,0.0,100.0
Formula 1 - fixed&&Listoffinishingstatusforaspecificseason,2,-3.0,0.0,100.0
GeoAPI&&Get Cities in a Country,2,-3.0,0.0,100.0
GeoAPI&&Get City Detail,2,-3.0,0.0,100.0
GeoAPI&&Get Country Details,2,-3.0,0.0,100.0
Geometric Calculation&&Rectangle Max Empty,2,-3.0,0.0,100.0
Giphy&&STICKER Translate,2,-3.0,0.0,100.0
Giphy&&Search,2,-3.0,0.0,100.0
Greip&&/badWords,2,-3.0,0.0,100.0
Image Similarity&&ImagePaths,2,-3.0,0.0,100.0
Image Similarity&&ImageURLs,2,-3.0,0.0,100.0
India Passport OCR&&India Passport OCR,2,-3.0,0.0,100.0
Instagram API&&Location by Id,2,-3.0,0.0,100.0
JIRA&&getDashboardProperty,2,-3.0,0.0,100.0
JIRA&&getProperty,2,-3.0,0.0,100.0
JIRA&&updateSelectFieldOptions,2,-3.0,0.0,100.0
Jibber Analyzer&&Analyze (Dutch),2,-3.0,0.0,100.0
Jibber Analyzer&&Analyze (Italian),2,-3.0,0.0,100.0
Kiann_Options_Project&&Sunction-one,2,-3.0,0.0,100.0
Kiann_Options_Project&&vol_strike,2,-3.0,0.0,100.0
Linguist&&Counter,2,-3.0,0.0,100.0
Lowest Common&&default,2,-3.0,0.0,100.0
MapboxDirection&&getOptimalCycling,2,-3.0,0.0,100.0
Masehi ke Hijriyah&&tanggal,2,-3.0,0.0,100.0
Microsoft Content Moderator&&OCR [File],2,-3.0,0.0,100.0
Microsoft Content Moderator&&OCR [URL],2,-3.0,0.0,100.0
National Football Players&&Positions,2,-3.0,0.0,100.0
Numbers&&Get year fact,2,-3.0,0.0,100.0
Otapi Aliexpress&&Get Item,2,-3.0,0.0,100.0
Otapi Aliexpress&&Get Vendor,2,-3.0,0.0,100.0
People Detection&&Analyze Image,2,-3.0,0.0,100.0
Pocket Cube Solver&&getAllSolutions,2,-3.0,0.0,100.0
Randomath&&Random addition,2,-3.0,0.0,100.0
Randomath&&Random multiplication,2,-3.0,0.0,100.0
Randomath&&Random subtraction,2,-3.0,0.0,100.0
Rectangle Calculate&&default,2,-3.0,0.0,100.0
Redactor Detector&&Redact PDF Document,2,-3.0,0.0,100.0
Riddlie &&Update Riddle (Admin Only),2,-3.0,0.0,100.0
Riddlie &&Upvote Riddle,2,-3.0,0.0,100.0
RushTranslate&&List Orders,2,-3.0,0.0,100.0
SOE&&Mandarin Chinese Word Assessment,2,-3.0,0.0,100.0
Scramblr&&/detect/text,2,-3.0,0.0,100.0
ShoppingDeals&&Get deals in descending order of deal price,2,-3.0,0.0,100.0
ShoppingDeals&&Get deals in descending order of posted time,2,-3.0,0.0,100.0
"Slider captcha solver (Geetest, Tencent)&&solve",2,-3.0,0.0,100.0
SofaScores&&Number live events,2,-3.0,0.0,100.0
SofaSport&&Team rankings,2,-3.0,0.0,100.0
Spellcheck + Tokenization + Wordbreak&&GET/v1/spellcheck-tokenize,2,-3.0,0.0,100.0
Stacks Patent Similarity&&post_infringement_v1_infringement_research_predict_post,2,-3.0,0.0,100.0
TeleSign Score&&Score,2,-3.0,0.0,100.0
Topics Extraction&&topics-2.0,2,-3.0,0.0,100.0
Twinword Text Analysis Bundle&&Generate (post),2,-3.0,0.0,100.0
USPTO Trademark&&v1/ownerSearch,2,-3.0,0.0,100.0
User Intents Extractor&&/api/analyze_text,2,-3.0,0.0,100.0
Webit Text Analytics&&Detect Languages,2,-3.0,0.0,100.0
Word Definition&&default,2,-3.0,0.0,100.0
Word Finder English&&Unscramble Words Solver,2,-3.0,0.0,100.0
YC Hacker news official&&user by id,2,-3.0,0.0,100.0
cw2&&default,2,-3.0,0.0,100.0
lcm&&default,2,-3.0,0.0,100.0
nba-all-in-api-jsdw&&Nba standings,2,-3.0,0.0,100.0
plot2txt&& Pixel sieve,2,-3.0,0.0,100.0
positionstack&&get,2,-3.0,0.0,100.0
teamriverbubbles random utilities&&kda calculator,2,-3.0,0.0,100.0
weatherstack&&get,2,-3.0,0.0,100.0
wordinfo&&default,2,-3.0,0.0,100.0
AION&&Chatbot Answer,1,3.0,100.0,0.0
AION&&Create New Bot,1,3.0,100.0,0.0
Arithmio&&GET API,1,3.0,100.0,0.0
Arithmio&&POST API,1,3.0,100.0,0.0
Dandelion&&classifyText,1,3.0,100.0,0.0
Dandelion&&identifyTextSentiments,1,3.0,100.0,0.0
ESA Semantic Relatedness&&Relatedness,1,3.0,100.0,0.0
EasyTransform API&&Transform units [POST],1,3.0,100.0,0.0
Forcast Base&&default,1,3.0,100.0,0.0
General Detection&&Get list of algorithms,1,3.0,100.0,0.0
Grammar corrector API&&Check text,1,3.0,100.0,0.0
Grammarify&&deep_check,1,3.0,100.0,0.0
JIRA&&assignIssueToUser,1,3.0,100.0,0.0
JIRA&&findBulkAssignableUsers,1,3.0,100.0,0.0
KIRIN Vision&&Object Detection,1,3.0,100.0,0.0
LanguageTool&&List of Languages,1,3.0,100.0,0.0
LokingAI-Text&&classifier_classifier_post,1,3.0,100.0,0.0
Maths Made Easy&&Arithmatic,1,3.0,100.0,0.0
MonkeyLearn&&classifyMulti,1,3.0,100.0,0.0
Open Ai&&Playground,1,3.0,100.0,0.0
Physitionary&&advanced,1,3.0,100.0,0.0
Physitionary&&intermediate,1,3.0,100.0,0.0
Regim&&Object recognition and segmentation,1,3.0,100.0,0.0
Rephraser Text and Spintax&&text_to_rewrite,1,3.0,100.0,0.0
Semantic Analysis&&Create_Multilabel_Marks_v1_mark_multilabel_post,1,3.0,100.0,0.0
Semantic Analysis&&Create_Semantic_Mark_v1_mark_post,1,3.0,100.0,0.0
Semantic Analysis&&Semantic_Search_v1_text_search_post,1,3.0,100.0,0.0
Sentiment Analysis by Geneea&&Sentiment Analysis,1,3.0,100.0,0.0
SentimentAnalyzer&&sentiment,1,3.0,100.0,0.0
State of the Art Real-Time Object Detection&&Object Detection,1,3.0,100.0,0.0
Text Entities API&&text-entities,1,3.0,100.0,0.0
UnitConversion&&/data/:from/:to/:number,1,3.0,100.0,0.0
WindSchedulingAPI&&scheduling pro,1,3.0,100.0,0.0
bracketPy&&Named Entities,1,3.0,100.0,0.0
ezML&&object_detection_api_v1_functions_object_detection_post,1,3.0,100.0,0.0
teamriverbubbles random utilities&&is prime,1,3.0,100.0,0.0
units converter&&Convert a quantity from one unit to another,1,3.0,100.0,0.0
units converter&&Convert to all units,1,3.0,100.0,0.0
weather forecast 14 days&&Search location by Name or zip code,1,3.0,100.0,0.0
Book&&getBook,1,2.0,0.0,0.0
Chimp Rewriter&&GenerateSpin,1,2.0,0.0,0.0
Color Extractor for Apparel&&Extract Colors,1,2.0,0.0,0.0
Coordinates&&calc-area,1,2.0,0.0,0.0
Date Calculator&&now,1,2.0,0.0,0.0
Dice Roll Simulator&&Regular die,1,2.0,0.0,0.0
Extract Table - DocumentDev&&ExtractTable,1,2.0,0.0,0.0
Kitten Placeholder&&Cat,1,2.0,0.0,0.0
MonkeyLearn&&uploadSamplesToMultiCategory,1,2.0,0.0,0.0
OS Sports Perform&&Incidents,1,2.0,0.0,0.0
OS Sports Perform&&Player data,1,2.0,0.0,0.0
OS Sports Perform&&Player events,1,2.0,0.0,0.0
Physitionary&&basic,1,2.0,0.0,0.0
Roll Dice&&rollDice,1,2.0,0.0,0.0
Sephora&&products/list (Deprecated),1,2.0,0.0,0.0
Sephora&&products/v2/list,1,2.0,0.0,0.0
Sephora&&us/products/v2/list,1,2.0,0.0,0.0
Sephora&&us/products/v2/search,1,2.0,0.0,0.0
Slope Calculator&&Get Slope Calculation,1,2.0,0.0,0.0
Text Sentiment Analysis&&Detect Sentiment,1,2.0,0.0,0.0
Text-Processing&&sentiment,1,2.0,0.0,0.0
Text2Table&&web2text,1,2.0,0.0,0.0
Webit Text Analytics&&Match,1,2.0,0.0,0.0
memes responses&&response,1,2.0,0.0,0.0
AION&&Authenticate,1,1.0,0.0,0.0
Airdna&&Suggest region,1,1.0,0.0,0.0
BigOven&&departmentalizeItemsInGroceryList,1,1.0,0.0,0.0
Comprehendo&&ml-zero-nli,1,1.0,0.0,0.0
Daily Knowledge&&/logical-fallacies-en.json,1,1.0,0.0,0.0
Date Calculator&&rdates,1,1.0,0.0,0.0
DiceForge&&/statroll,1,1.0,0.0,0.0
DriftEvent&&Date and time,1,1.0,0.0,0.0
DriftEvent&&Location,1,1.0,0.0,0.0
Emotion Detection API&&Emotion Detection,1,1.0,0.0,0.0
English text simplifier&&/v1/simplify,1,1.0,0.0,0.0
Finance Text Sentiment&&Positive Sentiment Example,1,1.0,0.0,0.0
Fruit_API&&Get Fruits,1,1.0,0.0,0.0
Geneea Interpretor NLP&&Tags Extraction,1,1.0,0.0,0.0
GeoApi&&/api/Geo/MakeValid,1,1.0,0.0,0.0
GeoDB Cities&&Places Near Location,1,1.0,0.0,0.0
Geometric Calculation&&Minkowski Sum,1,1.0,0.0,0.0
Integrate AI&&paraphrasing_paraphrasing__post,1,1.0,0.0,0.0
JIRA&&setRoleActors,1,1.0,0.0,0.0
JIRA&&setTimeTrackingConfiguration,1,1.0,0.0,0.0
Language Tools&&/rephrase-simple,1,1.0,0.0,0.0
Languagelayer&&detectSingleTextLanguage,1,1.0,0.0,0.0
Lingulab&&Get Result Adv,1,1.0,0.0,0.0
Lingulab&&Process Text For Office,1,1.0,0.0,0.0
LocationIQ&&fixedSourceDestination,1,1.0,0.0,0.0
Magic 8 Ball&&Get the answer from Magic 8 Ball,1,1.0,0.0,0.0
Microserv.io NLP Service&&Sentences,1,1.0,0.0,0.0
Multi-Market Calculator&&Calculator,1,1.0,0.0,0.0
Muse J NLP&&/nlp/action/,1,1.0,0.0,0.0
Muse J NLP&&/nlp/emotion/,1,1.0,0.0,0.0
NLP Text Processor Categorizer and Analyzer&&Flippy Endpoint,1,1.0,0.0,0.0
NLP&&People Also Ask,1,1.0,0.0,0.0
Pitch Testing&&P1.scheduler/all-events,1,1.0,0.0,0.0
Pitch Testing&&P2.scheduler/all-events,1,1.0,0.0,0.0
"Quick Geo Location&&Search Distance & Time By Lat, Lan",1,1.0,0.0,0.0
"Quick Geo Location&&Search Location By Lat, Lng",1,1.0,0.0,0.0
Quick Geo Location&&Search Location By Name,1,1.0,0.0,0.0
Realtor&&Search for region,1,1.0,0.0,0.0
Sephora&&brands/v2/list,1,1.0,0.0,0.0
Shazam api&&artist,1,1.0,0.0,0.0
Spotify Data&&artist-appears-on,1,1.0,0.0,0.0
Text Anonymizer&&Anonymize with indexed entities,1,1.0,0.0,0.0
Text Semantic Split - into Chunks&&Semantically Segment Text,1,1.0,0.0,0.0
Twinword Text Analysis Bundle&&Classify (post),1,1.0,0.0,0.0
Webit Language&&Detect,1,1.0,0.0,0.0
Webit Language&&Dictionary Examples (TEMPORARILY UNAVAILABLE),1,1.0,0.0,0.0
ZendeskCore&&updateIntervalsForSchedule,1,1.0,0.0,0.0
ZendeskCore&&updateSchedule,1,1.0,0.0,0.0
api timing check&&NewRequest,1,1.0,0.0,0.0
genius&&artists,1,1.0,0.0,0.0
lab&&/labs,1,1.0,0.0,0.0
random choise&&randomChoise,1,1.0,0.0,0.0
siiau-api&&Get schedule,1,1.0,0.0,0.0
title generation&&title,1,1.0,0.0,0.0
Auto Segmentation&&Auto Segmentation German Text,1,-2.0,0.0,100.0
List Movies&&Order By,1,-2.0,0.0,100.0
TaoResearch&&Count,1,-2.0,0.0,100.0
6px&&Create Job,1,-3.0,0.0,100.0
ADSBexchange.com&&Single Aircraft Position by Hex ID (icao),1,-3.0,0.0,100.0
AI Quotes&&AI Quote,1,-3.0,0.0,100.0
AI Stock Prediction&&predict,1,-3.0,0.0,100.0
AI Textraction&&Textraction,1,-3.0,0.0,100.0
AIception&&createDetectObjectTask,1,-3.0,0.0,100.0
AIception&&createFaceAgeTask,1,-3.0,0.0,100.0
AIception&&getAdultContentTask,1,-3.0,0.0,100.0
AIception&&getFaceAgeTask,1,-3.0,0.0,100.0
ALPR API&&Face embedding,1,-3.0,0.0,100.0
ALPR API&&Face embedding v3,1,-3.0,0.0,100.0
ALPR API&&Face multiple embedding,1,-3.0,0.0,100.0
ALPR API&&Face multiple embedding v2,1,-3.0,0.0,100.0
ALPR API&&Face multiple embedding v3,1,-3.0,0.0,100.0
ALPR API&&License Plate OCR China,1,-3.0,0.0,100.0
AdVerifai-es&&fact_check,1,-3.0,0.0,100.0
AllSportsApi&&BasketballPlayerShotActionsPlayoffs,1,-3.0,0.0,100.0
AllSportsApi&&BasketballPlayerShotActionsRegularSeason,1,-3.0,0.0,100.0
AllSportsApi&&PlayerPlaceholderImage,1,-3.0,0.0,100.0
Animais de Rua&&Partners,1,-3.0,0.0,100.0
Animals by API-Ninjas&&/v1/animals,1,-3.0,0.0,100.0
Anthill Engine&&Create Order,1,-3.0,0.0,100.0
Article Data Extraction and Summarization&&/summary,1,-3.0,0.0,100.0
Atmosphere nitrous oxide levels&&Nitrous endpoint,1,-3.0,0.0,100.0
Bad Words Profanity Filter&&Detect Bad Words,1,-3.0,0.0,100.0
BarPatterns&&Bearish Engulfing,1,-3.0,0.0,100.0
BarPatterns&&Macd Crossover Down,1,-3.0,0.0,100.0
BarPatterns&&Macd Crossover Up,1,-3.0,0.0,100.0
BarPatterns&&Piercing Line,1,-3.0,0.0,100.0
BigOven&&addSingleItemToGroceryList,1,-3.0,0.0,100.0
BigOven&&deleteItemFromGroceryList,1,-3.0,0.0,100.0
BigOven&&deleteItemsFromGroceryList,1,-3.0,0.0,100.0
Book Discovery by ReadsOmnia&&Book Search,1,-3.0,0.0,100.0
Book Discovery by ReadsOmnia&&Science Fiction & Fantasy Bestsellers,1,-3.0,0.0,100.0
Broken API&&/timeout/{time},1,-3.0,0.0,100.0
CIS Automotive&&daysToSell,1,-3.0,0.0,100.0
CIS Automotive&&regionDailySales,1,-3.0,0.0,100.0
CIS Automotive&&regionSales,1,-3.0,0.0,100.0
