pattern_type,pattern,size,example_qids
prefix,user i'm writing an article about,325,PartII_question_3975 | PartII_question_4015 | PartII_question_4178 | PartII_question_4250 | PartII_question_4317 | PartII_question_4329 | PartII_question_4369 | PartII_question_4571 | PartII_question_4928 | PartII_question_4970
prefix,user i'm planning a family gathering,321,PartII_question_2762 | PartII_question_2836 | PartII_question_3080 | PartII_question_3112 | PartII_question_3238 | PartII_question_3371 | PartII_question_4069 | PartII_question_4097 | PartII_question_4248 | PartII_question_4778
prefix,user can you provide me with,308,PartII_question_1854 | PartII_question_2724 | PartII_question_2748 | PartII_question_2801 | PartII_question_3089 | PartII_question_3340 | PartII_question_3627 | PartII_question_3862 | PartII_question_3865 | PartII_question_3940
prefix,which location is the most likely,308,leaderboard_musr_object_placements_question_0 | leaderboard_musr_object_placements_question_1 | leaderboard_musr_object_placements_question_2 | leaderboard_musr_object_placements_question_3 | leaderboard_musr_object_placements_question_4 | leaderboard_musr_object_placements_question_5 | leaderboard_musr_object_placements_question_6 | leaderboard_musr_object_placements_question_7 | leaderboard_musr_object_placements_question_8 | leaderboard_musr_object_placements_question_9
prefix,user i'm working on a project,307,PartII_question_2753 | PartII_question_2810 | PartII_question_3065 | PartII_question_3077 | PartII_question_3162 | PartII_question_3388 | PartII_question_4240 | PartII_question_4258 | PartII_question_4713 | PartII_question_4813
prefix,alice bob claire dave and eve,300,leaderboard_bbh_tracking_shuffled_objects_five_objects_question_0 | leaderboard_bbh_tracking_shuffled_objects_five_objects_question_1 | leaderboard_bbh_tracking_shuffled_objects_five_objects_question_2 | leaderboard_bbh_tracking_shuffled_objects_five_objects_question_3 | leaderboard_bbh_tracking_shuffled_objects_five_objects_question_4 | leaderboard_bbh_tracking_shuffled_objects_five_objects_question_5 | leaderboard_bbh_tracking_shuffled_objects_five_objects_question_6 | leaderboard_bbh_tracking_shuffled_objects_five_objects_question_7 | leaderboard_bbh_tracking_shuffled_objects_five_objects_question_8 | leaderboard_bbh_tracking_shuffled_objects_five_objects_question_9
prefix,alice bob claire dave eve fred,300,leaderboard_bbh_tracking_shuffled_objects_seven_objects_question_0 | leaderboard_bbh_tracking_shuffled_objects_seven_objects_question_1 | leaderboard_bbh_tracking_shuffled_objects_seven_objects_question_2 | leaderboard_bbh_tracking_shuffled_objects_seven_objects_question_3 | leaderboard_bbh_tracking_shuffled_objects_seven_objects_question_4 | leaderboard_bbh_tracking_shuffled_objects_seven_objects_question_5 | leaderboard_bbh_tracking_shuffled_objects_seven_objects_question_6 | leaderboard_bbh_tracking_shuffled_objects_seven_objects_question_7 | leaderboard_bbh_tracking_shuffled_objects_seven_objects_question_8 | leaderboard_bbh_tracking_shuffled_objects_seven_objects_question_9
prefix,given the story how would you,300,leaderboard_musr_team_allocation_question_0 | leaderboard_musr_team_allocation_question_1 | leaderboard_musr_team_allocation_question_2 | leaderboard_musr_team_allocation_question_3 | leaderboard_musr_team_allocation_question_4 | leaderboard_musr_team_allocation_question_5 | leaderboard_musr_team_allocation_question_6 | leaderboard_musr_team_allocation_question_7 | leaderboard_musr_team_allocation_question_8 | leaderboard_musr_team_allocation_question_9
prefix,if you follow these instructions do,300,leaderboard_bbh_navigate_question_0 | leaderboard_bbh_navigate_question_1 | leaderboard_bbh_navigate_question_2 | leaderboard_bbh_navigate_question_3 | leaderboard_bbh_navigate_question_4 | leaderboard_bbh_navigate_question_5 | leaderboard_bbh_navigate_question_6 | leaderboard_bbh_navigate_question_7 | leaderboard_bbh_navigate_question_8 | leaderboard_bbh_navigate_question_9
prefix,in the following sentences explain the,300,leaderboard_bbh_disambiguation_qa_question_0 | leaderboard_bbh_disambiguation_qa_question_1 | leaderboard_bbh_disambiguation_qa_question_2 | leaderboard_bbh_disambiguation_qa_question_3 | leaderboard_bbh_disambiguation_qa_question_4 | leaderboard_bbh_disambiguation_qa_question_5 | leaderboard_bbh_disambiguation_qa_question_6 | leaderboard_bbh_disambiguation_qa_question_7 | leaderboard_bbh_disambiguation_qa_question_8 | leaderboard_bbh_disambiguation_qa_question_9
prefix,the following translations from german to,300,leaderboard_bbh_salient_translation_error_detection_question_0 | leaderboard_bbh_salient_translation_error_detection_question_1 | leaderboard_bbh_salient_translation_error_detection_question_2 | leaderboard_bbh_salient_translation_error_detection_question_3 | leaderboard_bbh_salient_translation_error_detection_question_4 | leaderboard_bbh_salient_translation_error_detection_question_5 | leaderboard_bbh_salient_translation_error_detection_question_6 | leaderboard_bbh_salient_translation_error_detection_question_7 | leaderboard_bbh_salient_translation_error_detection_question_8 | leaderboard_bbh_salient_translation_error_detection_question_9
prefix,this svg path element path d,300,leaderboard_bbh_geometric_shapes_question_0 | leaderboard_bbh_geometric_shapes_question_1 | leaderboard_bbh_geometric_shapes_question_2 | leaderboard_bbh_geometric_shapes_question_3 | leaderboard_bbh_geometric_shapes_question_4 | leaderboard_bbh_geometric_shapes_question_5 | leaderboard_bbh_geometric_shapes_question_6 | leaderboard_bbh_geometric_shapes_question_7 | leaderboard_bbh_geometric_shapes_question_8 | leaderboard_bbh_geometric_shapes_question_9
prefix,who is the most likely murderer,300,leaderboard_musr_murder_mysteries_question_0 | leaderboard_musr_murder_mysteries_question_1 | leaderboard_musr_murder_mysteries_question_2 | leaderboard_musr_murder_mysteries_question_3 | leaderboard_musr_murder_mysteries_question_4 | leaderboard_musr_murder_mysteries_question_5 | leaderboard_musr_murder_mysteries_question_6 | leaderboard_musr_murder_mysteries_question_7 | leaderboard_musr_murder_mysteries_question_8 | leaderboard_musr_murder_mysteries_question_9
skeleton,given the story how would you uniquely allocate each person to make sure both tasks are <id> efficiently,300,leaderboard_musr_team_allocation_question_0 | leaderboard_musr_team_allocation_question_1 | leaderboard_musr_team_allocation_question_2 | leaderboard_musr_team_allocation_question_3 | leaderboard_musr_team_allocation_question_4 | leaderboard_musr_team_allocation_question_5 | leaderboard_musr_team_allocation_question_6 | leaderboard_musr_team_allocation_question_7 | leaderboard_musr_team_allocation_question_8 | leaderboard_musr_team_allocation_question_9
skeleton,who is the most likely murderer,300,leaderboard_musr_murder_mysteries_question_0 | leaderboard_musr_murder_mysteries_question_1 | leaderboard_musr_murder_mysteries_question_2 | leaderboard_musr_murder_mysteries_question_3 | leaderboard_musr_murder_mysteries_question_4 | leaderboard_musr_murder_mysteries_question_5 | leaderboard_musr_murder_mysteries_question_6 | leaderboard_musr_murder_mysteries_question_7 | leaderboard_musr_murder_mysteries_question_8 | leaderboard_musr_murder_mysteries_question_9
prefix,which sentence has the correct adjective,299,leaderboard_bbh_hyperbaton_question_0 | leaderboard_bbh_hyperbaton_question_1 | leaderboard_bbh_hyperbaton_question_2 | leaderboard_bbh_hyperbaton_question_3 | leaderboard_bbh_hyperbaton_question_4 | leaderboard_bbh_hyperbaton_question_5 | leaderboard_bbh_hyperbaton_question_6 | leaderboard_bbh_hyperbaton_question_7 | leaderboard_bbh_hyperbaton_question_8 | leaderboard_bbh_hyperbaton_question_9
prefix,this question refers to the following,298,leaderboard_mmlu_pro_question_569 | leaderboard_mmlu_pro_question_570 | leaderboard_mmlu_pro_question_571 | leaderboard_mmlu_pro_question_573 | leaderboard_mmlu_pro_question_574 | leaderboard_mmlu_pro_question_576 | leaderboard_mmlu_pro_question_577 | leaderboard_mmlu_pro_question_579 | leaderboard_mmlu_pro_question_580 | leaderboard_mmlu_pro_question_582
prefix,user i am planning a surprise,286,PartII_question_3150 | PartII_question_3437 | PartII_question_3707 | PartII_question_3757 | PartII_question_3983 | PartII_question_3999 | PartII_question_4041 | PartII_question_5661 | PartII_question_5749 | PartII_question_5919
prefix,user i am planning a family,279,PartII_question_2942 | PartII_question_3141 | PartII_question_3327 | PartII_question_3613 | PartII_question_3701 | PartII_question_4190 | PartII_question_4211 | PartII_question_5053 | PartII_question_5716 | PartII_question_6080
prefix,user i'm starting a new business,273,PartII_question_2763 | PartII_question_3287 | PartII_question_3504 | PartII_question_3668 | PartII_question_3934 | PartII_question_5072 | PartII_question_5108 | PartII_question_5173 | PartII_question_5466 | PartII_question_5931
prefix,user i'm organizing a company retreat,268,PartII_question_3360 | PartII_question_4090 | PartII_question_4342 | PartII_question_4377 | PartII_question_4507 | PartII_question_4652 | PartII_question_7024 | PartII_question_7116 | PartII_question_7209 | PartII_question_7247
prefix,user my company is planning to,246,PartII_question_2754 | PartII_question_2973 | PartII_question_3346 | PartII_question_3812 | PartII_question_3818 | PartII_question_3851 | PartII_question_5203 | PartII_question_5441 | PartII_question_5444 | PartII_question_5702
prefix,user i want to plan a,244,PartII_question_2843 | PartII_question_2940 | PartII_question_2946 | PartII_question_3049 | PartII_question_3302 | PartII_question_3392 | PartII_question_3528 | PartII_question_3816 | PartII_question_4588 | PartII_question_5341
prefix,user i am working on a,242,PartII_question_3596 | PartII_question_3736 | PartII_question_3808 | PartII_question_3834 | PartII_question_3913 | PartII_question_4050 | PartII_question_4066 | PartII_question_4366 | PartII_question_4753 | PartII_question_5156
prefix,user my company is interested in,239,PartII_question_2846 | PartII_question_3318 | PartII_question_3724 | PartII_question_3970 | PartII_question_4453 | PartII_question_4513 | PartII_question_5325 | PartII_question_5754 | PartII_question_5757 | PartII_question_6495
prefix,user i'm a music blogger and,237,PartII_question_2874 | PartII_question_3493 | PartII_question_3670 | PartII_question_3721 | PartII_question_3775 | PartII_question_4873 | PartII_question_5024 | PartII_question_5709 | PartII_question_5973 | PartII_question_6017
prefix,user i'm a music lover and,235,PartII_question_3102 | PartII_question_3179 | PartII_question_3682 | PartII_question_3726 | PartII_question_4382 | PartII_question_4594 | PartII_question_4719 | PartII_question_4959 | PartII_question_5098 | PartII_question_5992
prefix,user i'm planning a beach vacation,232,PartII_question_2802 | PartII_question_2934 | PartII_question_3168 | PartII_question_3785 | PartII_question_3801 | PartII_question_3951 | PartII_question_4158 | PartII_question_4493 | PartII_question_4704 | PartII_question_4963
prefix,user i'm planning to invest in,232,PartII_question_3710 | PartII_question_3729 | PartII_question_4816 | PartII_question_5449 | PartII_question_5555 | PartII_question_6199 | PartII_question_6439 | PartII_question_6859 | PartII_question_8418 | PartII_question_8608
prefix,user i want to analyze the,229,PartII_question_2880 | PartII_question_2909 | PartII_question_3054 | PartII_question_3230 | PartII_question_3271 | PartII_question_4012 | PartII_question_4071 | PartII_question_5172 | PartII_question_5295 | PartII_question_5421
prefix,user i'm working on a research,228,PartII_question_2847 | PartII_question_2869 | PartII_question_2968 | PartII_question_3708 | PartII_question_4104 | PartII_question_4469 | PartII_question_4635 | PartII_question_5667 | PartII_question_5766 | PartII_question_5848
prefix,how would a typical person answer,225,leaderboard_bbh_causal_judgement_question_0 | leaderboard_bbh_causal_judgement_question_1 | leaderboard_bbh_causal_judgement_question_2 | leaderboard_bbh_causal_judgement_question_3 | leaderboard_bbh_causal_judgement_question_4 | leaderboard_bbh_causal_judgement_question_5 | leaderboard_bbh_causal_judgement_question_6 | leaderboard_bbh_causal_judgement_question_7 | leaderboard_bbh_causal_judgement_question_8 | leaderboard_bbh_causal_judgement_question_9
prefix,user i'm planning a vacation to,215,PartII_question_3378 | PartII_question_3746 | PartII_question_3948 | PartII_question_4213 | PartII_question_5885 | PartII_question_6366 | PartII_question_6408 | PartII_question_6445 | PartII_question_6691 | PartII_question_7017
prefix,user i'm planning a weekend getaway,214,PartII_question_3041 | PartII_question_3270 | PartII_question_3886 | PartII_question_4276 | PartII_question_4660 | PartII_question_5406 | PartII_question_5524 | PartII_question_5947 | PartII_question_6267 | PartII_question_6477
prefix,which statement is sarcastic options a,214,leaderboard_bbh_snarks_question_0 | leaderboard_bbh_snarks_question_1 | leaderboard_bbh_snarks_question_2 | leaderboard_bbh_snarks_question_3 | leaderboard_bbh_snarks_question_4 | leaderboard_bbh_snarks_question_5 | leaderboard_bbh_snarks_question_6 | leaderboard_bbh_snarks_question_7 | leaderboard_bbh_snarks_question_8 | leaderboard_bbh_snarks_question_9
prefix,user my company is expanding its,211,PartII_question_2811 | PartII_question_3510 | PartII_question_3659 | PartII_question_4286 | PartII_question_4744 | PartII_question_5020 | PartII_question_5243 | PartII_question_5346 | PartII_question_5600 | PartII_question_5859
prefix,user please provide me with the,210,PartII_question_3007 | PartII_question_3198 | PartII_question_3577 | PartII_question_3647 | PartII_question_3672 | PartII_question_3809 | PartII_question_3996 | PartII_question_4180 | PartII_question_5220 | PartII_question_5366
prefix,user i'm a food blogger and,206,PartII_question_3359 | PartII_question_3686 | PartII_question_3692 | PartII_question_4293 | PartII_question_4576 | PartII_question_4584 | PartII_question_5092 | PartII_question_5191 | PartII_question_5407 | PartII_question_5525
prefix,user i'm a huge fan of,201,PartII_question_3289 | PartII_question_3820 | PartII_question_4052 | PartII_question_4284 | PartII_question_5113 | PartII_question_5431 | PartII_question_5880 | PartII_question_5998 | PartII_question_6027 | PartII_question_6218
prefix,user can you help me find,197,MTU_MSTS_question_140 | MTU_MSTS_question_147 | MTU_MSTS_question_183 | MTU_MSTS_question_184 | MTU_MSTS_question_195 | PartII_question_5 | PartII_question_6 | PartII_question_7 | PartII_question_8 | PartII_question_9
prefix,user could you please provide me,195,PartII_question_2886 | PartII_question_3691 | PartII_question_3742 | PartII_question_3765 | PartII_question_3894 | PartII_question_4192 | PartII_question_4204 | PartII_question_4273 | PartII_question_4383 | PartII_question_4650
prefix,user my company is hosting a,192,PartII_question_2817 | PartII_question_2865 | PartII_question_3209 | PartII_question_3424 | PartII_question_3650 | PartII_question_3989 | PartII_question_4080 | PartII_question_4455 | PartII_question_4809 | PartII_question_4991
prefix,user i'm a developer working on,190,PartII_question_4165 | PartII_question_4525 | PartII_question_4665 | PartII_question_4677 | PartII_question_4721 | PartII_question_4801 | PartII_question_5402 | PartII_question_5565 | PartII_question_5673 | PartII_question_6057
prefix,user i'm organizing a family reunion,189,PartII_question_3563 | PartII_question_3961 | PartII_question_4135 | PartII_question_4323 | PartII_question_4980 | PartII_question_5281 | PartII_question_5485 | PartII_question_5652 | PartII_question_5748 | PartII_question_5758
prefix,user i'm a financial analyst and,186,PartII_question_2786 | PartII_question_5120 | PartII_question_5820 | PartII_question_5881 | PartII_question_5956 | PartII_question_7255 | PartII_question_7281 | PartII_question_8048 | PartII_question_8179 | PartII_question_8553
prefix,user my company is developing a,185,PartII_question_2789 | PartII_question_3105 | PartII_question_3217 | PartII_question_4039 | PartII_question_4187 | PartII_question_4529 | PartII_question_4572 | PartII_question_5176 | PartII_question_5396 | PartII_question_6087
prefix,user i'm planning a movie night,180,PartII_question_2903 | PartII_question_3393 | PartII_question_3446 | PartII_question_4614 | PartII_question_5361 | PartII_question_5672 | PartII_question_5719 | PartII_question_6034 | PartII_question_6412 | PartII_question_6555
prefix,user i need to retrieve the,177,PartII_question_2703 | PartII_question_3637 | PartII_question_3819 | PartII_question_6391 | PartII_question_6426 | PartII_question_7267 | PartII_question_7723 | PartII_question_8596 | PartII_question_8675 | PartII_question_8949
prefix,here is a table where the,176,leaderboard_bbh_penguins_in_a_table_question_0 | leaderboard_bbh_penguins_in_a_table_question_1 | leaderboard_bbh_penguins_in_a_table_question_2 | leaderboard_bbh_penguins_in_a_table_question_3 | leaderboard_bbh_penguins_in_a_table_question_4 | leaderboard_bbh_penguins_in_a_table_question_5 | leaderboard_bbh_penguins_in_a_table_question_6 | leaderboard_bbh_penguins_in_a_table_question_7 | leaderboard_bbh_penguins_in_a_table_question_8 | leaderboard_bbh_penguins_in_a_table_question_9
prefix,user i am planning a road,175,PartII_question_2876 | PartII_question_2884 | PartII_question_3365 | PartII_question_3750 | PartII_question_3856 | PartII_question_3916 | PartII_question_5206 | PartII_question_6013 | PartII_question_6159 | PartII_question_6248
prefix,user i'm writing a research paper,173,PartII_question_3472 | PartII_question_3703 | PartII_question_4271 | PartII_question_4380 | PartII_question_5000 | PartII_question_5075 | PartII_question_5195 | PartII_question_5207 | PartII_question_6180 | PartII_question_6646
prefix,user i'm a travel enthusiast and,170,PartII_question_2920 | PartII_question_3374 | PartII_question_3488 | PartII_question_3830 | PartII_question_4611 | PartII_question_4853 | PartII_question_5167 | PartII_question_5944 | PartII_question_6440 | PartII_question_6539
prefix,user i need to check the,168,PartII_question_2956 | PartII_question_3070 | PartII_question_3197 | PartII_question_3918 | PartII_question_4958 | PartII_question_5290 | PartII_question_5837 | PartII_question_6716 | PartII_question_7546 | PartII_question_9016
prefix,user i'm a music producer and,167,PartII_question_2844 | PartII_question_3307 | PartII_question_3403 | PartII_question_3643 | PartII_question_3869 | PartII_question_4675 | PartII_question_4922 | PartII_question_4973 | PartII_question_5019 | PartII_question_5401
prefix,user i'm a journalist working on,165,PartII_question_2790 | PartII_question_3107 | PartII_question_4091 | PartII_question_4480 | PartII_question_5029 | PartII_question_5879 | PartII_question_6219 | PartII_question_6409 | PartII_question_7070 | PartII_question_7807
prefix,user i'm planning a company event,161,PartII_question_2712 | PartII_question_2990 | PartII_question_3860 | PartII_question_4081 | PartII_question_4941 | PartII_question_5256 | PartII_question_5278 | PartII_question_5576 | PartII_question_5684 | PartII_question_5824
prefix,user i'm a cryptocurrency enthusiast and,159,PartII_question_2788 | PartII_question_2839 | PartII_question_4500 | PartII_question_4562 | PartII_question_4608 | PartII_question_4779 | PartII_question_5362 | PartII_question_6162 | PartII_question_6286 | PartII_question_7207
prefix,user i'm planning a family reunion,157,PartII_question_3676 | PartII_question_3874 | PartII_question_4162 | PartII_question_4202 | PartII_question_4468 | PartII_question_4568 | PartII_question_5144 | PartII_question_5541 | PartII_question_6173 | PartII_question_7719
prefix,user i am organizing a company,156,PartII_question_2816 | PartII_question_3495 | PartII_question_4374 | PartII_question_5808 | PartII_question_5985 | PartII_question_6165 | PartII_question_6573 | PartII_question_6711 | PartII_question_7399 | PartII_question_7768
prefix,user i'm a student working on,156,PartII_question_2859 | PartII_question_3277 | PartII_question_3629 | PartII_question_4313 | PartII_question_6174 | PartII_question_6925 | PartII_question_8111 | PartII_question_8380 | PartII_question_8609 | PartII_question_9086
prefix,user i'm organizing a surprise birthday,156,PartII_question_3027 | PartII_question_3096 | PartII_question_3938 | PartII_question_4636 | PartII_question_5599 | PartII_question_5842 | PartII_question_6119 | PartII_question_6136 | PartII_question_6193 | PartII_question_6208
prefix,user i want to check the,153,PartII_question_3067 | PartII_question_5627 | PartII_question_6634 | PartII_question_6870 | PartII_question_7080 | PartII_question_7704 | PartII_question_7844 | PartII_question_8556 | PartII_question_8810 | PartII_question_9496
prefix,user i want to impress my,153,PartII_question_5025 | PartII_question_5091 | PartII_question_5465 | PartII_question_5665 | PartII_question_5969 | PartII_question_7350 | PartII_question_7369 | PartII_question_8602 | PartII_question_9337 | PartII_question_9833
prefix,user my company is organizing an,150,PartII_question_3152 | PartII_question_3817 | PartII_question_4325 | PartII_question_6765 | PartII_question_6854 | PartII_question_7408 | PartII_question_7934 | PartII_question_8084 | PartII_question_10079 | PartII_question_10878
prefix,user i need to find the,146,PartII_question_4372 | PartII_question_4691 | PartII_question_5031 | PartII_question_5217 | PartII_question_5564 | PartII_question_6341 | PartII_question_6751 | PartII_question_7716 | PartII_question_10012 | PartII_question_10158
prefix,user i'm organizing a music event,145,PartII_question_2720 | PartII_question_2988 | PartII_question_3822 | PartII_question_4638 | PartII_question_5004 | PartII_question_5247 | PartII_question_7032 | PartII_question_7767 | PartII_question_9076 | PartII_question_9309
prefix,user my friend is interested in,145,PartII_question_2721 | PartII_question_2938 | PartII_question_3586 | PartII_question_4715 | PartII_question_6061 | PartII_question_6430 | PartII_question_8314 | PartII_question_9610 | PartII_question_9615 | PartII_question_11124
prefix,user i'm writing a blog post,141,PartII_question_3237 | PartII_question_3700 | PartII_question_4083 | PartII_question_5474 | PartII_question_5928 | PartII_question_5936 | PartII_question_5965 | PartII_question_5995 | PartII_question_6397 | PartII_question_6489
prefix,user i'm organizing a surprise party,140,PartII_question_4711 | PartII_question_6116 | PartII_question_6383 | PartII_question_6492 | PartII_question_7279 | PartII_question_7342 | PartII_question_7741 | PartII_question_7872 | PartII_question_8728 | PartII_question_9668
prefix,user i'm planning a family game,136,PartII_question_3280 | PartII_question_3781 | PartII_question_3890 | PartII_question_4692 | PartII_question_4842 | PartII_question_5523 | PartII_question_5720 | PartII_question_6060 | PartII_question_7142 | PartII_question_7576
prefix,user i'm a sports enthusiast and,134,PartII_question_3835 | PartII_question_4760 | PartII_question_5257 | PartII_question_6290 | PartII_question_6808 | PartII_question_6968 | PartII_question_7873 | PartII_question_8082 | PartII_question_9728 | PartII_question_9918
prefix,user my company is planning a,132,PartII_question_3705 | PartII_question_4084 | PartII_question_4115 | PartII_question_4969 | PartII_question_5932 | PartII_question_6122 | PartII_question_6406 | PartII_question_6703 | PartII_question_6839 | PartII_question_8228
prefix,user my company is launching a,130,PartII_question_2951 | PartII_question_3163 | PartII_question_3853 | PartII_question_3946 | PartII_question_4643 | PartII_question_4953 | PartII_question_5487 | PartII_question_6288 | PartII_question_8653 | PartII_question_9362
prefix,user i need to analyze the,129,PartII_question_3129 | PartII_question_4506 | PartII_question_4739 | PartII_question_5439 | PartII_question_5568 | PartII_question_6346 | PartII_question_6359 | PartII_question_8178 | PartII_question_9432 | PartII_question_9519
prefix,user i'm planning a vacation with,129,PartII_question_3572 | PartII_question_3697 | PartII_question_4730 | PartII_question_5532 | PartII_question_5803 | PartII_question_6015 | PartII_question_7630 | PartII_question_8684 | PartII_question_9800 | PartII_question_10400
