qid,step_idx,total_steps,prefix_chars,prefix_words,P@1,R@1,F1@1,Hit@1,nDCG@1,MRR@1
PartII_question_23359,1,2,308,48,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_23359,2,2,745,101,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_35372,1,2,226,37,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_35372,2,2,273,42,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_11556,1,2,191,32,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_11556,2,2,236,37,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_2229,1,2,44,7,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_2229,2,2,5555,795,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_56844,1,2,211,36,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_56844,2,2,258,41,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_23818,1,2,335,52,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_23818,2,2,768,114,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_74276,1,2,145,28,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_74276,2,2,166,33,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_67578,1,2,330,52,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_67578,2,2,377,57,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_47727,1,2,220,39,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_47727,2,2,439,74,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_34348,1,2,216,38,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_34348,2,2,433,67,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_59390,1,2,267,45,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_59390,2,2,889,131,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_59879,1,2,339,54,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_59879,2,2,802,121,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_17326,1,2,334,54,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_17326,2,2,1315,121,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_9639,1,2,352,57,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_9639,2,2,495,78,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_74208,1,2,146,27,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_74208,2,2,168,32,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_20865,1,2,291,49,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_20865,2,2,338,54,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_35511,1,2,297,51,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_35511,2,2,344,56,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_45914,1,2,265,48,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_45914,2,2,509,80,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_62799,1,2,248,43,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_62799,2,2,421,69,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_67655,1,2,266,47,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_67655,2,2,671,112,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_56968,1,2,390,67,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_56968,2,2,1130,133,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_2854,1,2,262,44,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_2854,2,2,309,49,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_55805,1,2,281,48,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_55805,2,2,670,109,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_7669,1,2,256,50,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_7669,2,2,303,55,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_59566,1,2,180,33,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_59566,2,2,227,38,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_60805,1,2,229,40,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_60805,2,2,700,102,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_40035,1,2,291,53,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_40035,2,2,705,121,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_65663,1,2,354,56,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_65663,2,2,1410,197,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_17296,1,2,270,46,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_17296,2,2,622,101,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_15072,1,2,249,40,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_15072,2,2,566,75,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_129,1,2,62,11,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_129,2,2,108,19,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_75896,1,2,261,47,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_75896,2,2,927,147,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_19259,1,2,375,65,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_19259,2,2,422,70,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_51304,1,2,440,80,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_51304,2,2,1084,190,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_9920,1,2,293,51,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_9920,2,2,450,74,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_33593,1,2,229,35,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_33593,2,2,924,115,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_55297,1,2,318,50,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_55297,2,2,841,114,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_61241,1,2,243,44,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_61241,2,2,772,114,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_63779,1,2,255,43,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_63779,2,2,612,99,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_63401,1,2,275,42,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_63401,2,2,1148,85,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_18734,1,2,313,50,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_18734,2,2,360,55,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_32434,1,2,216,42,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_32434,2,2,514,81,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_59776,1,2,186,35,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_59776,2,2,233,40,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_64581,1,2,369,62,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_64581,2,2,416,67,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_66249,1,2,338,56,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_66249,2,2,1522,216,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_45844,1,2,235,43,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_45844,2,2,282,48,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_53253,1,2,242,39,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_53253,2,2,448,64,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_12083,1,2,357,57,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_12083,2,2,404,62,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_63128,1,2,253,46,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_63128,2,2,479,81,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_58201,1,2,251,44,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_58201,2,2,298,49,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_66974,1,2,311,49,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_66974,2,2,697,92,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_36746,1,2,299,47,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_36746,2,2,843,109,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_18318,1,2,217,44,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_18318,2,2,702,118,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_68650,1,2,279,45,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_68650,2,2,652,85,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_47341,1,2,283,46,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_47341,2,2,762,113,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_29486,1,2,349,55,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_29486,2,2,918,141,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_30880,1,2,355,56,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_30880,2,2,402,61,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_55993,1,2,263,46,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_55993,2,2,858,88,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_33940,1,2,246,42,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_33940,2,2,365,60,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_60367,1,2,200,38,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_60367,2,2,620,102,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_47286,1,2,280,41,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_47286,2,2,327,46,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_18795,1,2,230,41,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_18795,2,2,277,46,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_68283,1,2,286,51,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_68283,2,2,1033,163,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_36042,1,2,276,48,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_36042,2,2,769,130,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_22654,1,2,233,38,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_22654,2,2,686,100,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_33119,1,2,270,45,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_33119,2,2,545,87,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_69718,1,2,170,30,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_69718,2,2,386,61,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_37060,1,2,363,59,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_37060,2,2,408,64,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_60964,1,2,226,38,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_60964,2,2,273,43,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_19595,1,2,215,40,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_19595,2,2,262,45,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_65349,1,2,409,70,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_65349,2,2,456,75,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_14578,1,2,261,43,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_14578,2,2,308,48,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_7425,1,2,282,44,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_7425,2,2,721,109,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_24435,1,2,330,42,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_24435,2,2,1079,96,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_49721,1,2,211,35,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_49721,2,2,258,40,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_66243,1,2,245,42,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_66243,2,2,292,47,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_64497,1,2,424,68,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_64497,2,2,1006,118,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_75407,1,2,196,38,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_75407,2,2,691,111,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_10528,1,2,184,34,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_10528,2,2,231,39,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_8394,1,2,213,38,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_8394,2,2,260,43,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_43979,1,2,250,47,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_43979,2,2,297,52,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_46665,1,2,293,44,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_46665,2,2,340,49,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_47422,1,2,242,45,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_47422,2,2,511,88,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_61210,1,2,365,55,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_61210,2,2,412,60,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_24049,1,2,387,59,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_24049,2,2,434,64,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_8371,1,2,310,52,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_8371,2,2,591,90,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_45626,1,2,186,34,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_45626,2,2,598,80,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_74362,1,2,116,22,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_74362,2,2,140,27,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_24267,1,2,266,45,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_24267,2,2,832,103,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_75900,1,2,160,29,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_75900,2,2,551,88,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_74315,1,2,93,15,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_74315,2,2,114,20,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_4402,1,2,282,52,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_4402,2,2,753,110,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_22398,1,2,482,79,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_22398,2,2,1248,182,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_32055,1,2,269,49,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_32055,2,2,578,101,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_43552,1,2,264,50,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_43552,2,2,1070,133,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_68790,1,2,286,47,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_68790,2,2,490,79,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_60100,1,2,177,32,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_60100,2,2,224,37,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_26798,1,2,220,39,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_26798,2,2,490,79,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_3547,1,2,280,47,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_3547,2,2,852,137,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_4959,1,2,323,52,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_4959,2,2,370,57,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_25023,1,2,438,69,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_25023,2,2,945,139,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_60392,1,2,298,52,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_60392,2,2,1031,148,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_24832,1,2,346,56,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_24832,2,2,730,113,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_25356,1,2,314,51,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_25356,2,2,361,56,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_50020,1,2,323,59,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_50020,2,2,370,64,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_66814,1,2,208,40,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_66814,2,2,636,115,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_5113,1,2,253,47,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_5113,2,2,556,95,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_37635,1,2,321,54,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_37635,2,2,1644,248,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_26043,1,2,292,47,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_26043,2,2,339,52,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_48372,1,2,327,53,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_48372,2,2,670,101,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_45995,1,2,192,33,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_45995,2,2,727,101,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_61261,1,2,284,49,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_61261,2,2,709,105,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_73516,1,2,168,27,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_73516,2,2,347,53,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_53975,1,2,314,51,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_53975,2,2,361,56,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_21719,1,2,229,38,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_21719,2,2,678,106,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_38242,1,2,409,68,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_38242,2,2,1432,189,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_2269,1,2,53,9,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_2269,2,2,1785,223,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_31003,1,2,260,47,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_31003,2,2,486,80,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_71969,1,2,220,37,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_71969,2,2,267,42,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_535,1,2,72,11,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_535,2,2,400,70,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_24484,1,2,267,43,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_24484,2,2,419,63,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_44421,1,2,403,65,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_44421,2,2,450,70,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_62111,1,2,139,25,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_62111,2,2,288,45,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_16132,1,2,337,55,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_16132,2,2,384,60,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_70582,1,2,182,35,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_70582,2,2,558,94,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_20504,1,2,217,40,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_20504,2,2,264,45,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_13128,1,2,297,47,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_13128,2,2,601,88,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_46801,1,2,267,47,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_46801,2,2,314,52,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_43905,1,2,251,48,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_43905,2,2,298,53,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_57916,1,2,317,48,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_57916,2,2,749,111,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_25328,1,2,314,53,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_25328,2,2,711,109,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_16057,1,2,349,50,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_16057,2,2,396,55,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_4498,1,2,364,59,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_4498,2,2,525,83,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_69665,1,2,190,28,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_69665,2,2,579,81,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_6416,1,2,252,41,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_6416,2,2,612,89,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_45714,1,2,179,27,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_45714,2,2,381,59,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_56717,1,2,281,44,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_56717,2,2,587,84,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_21640,1,2,340,62,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_21640,2,2,385,67,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_19645,1,2,256,44,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_19645,2,2,781,105,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_15245,1,2,247,46,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_15245,2,2,294,51,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_11969,1,2,342,57,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_11969,2,2,1593,151,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_301,1,9,70,14,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_301,2,9,110,20,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_301,3,9,124,22,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_301,4,9,170,29,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_301,5,9,184,31,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_301,6,9,322,41,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_301,7,9,392,56,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_301,8,9,433,65,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_301,9,9,463,70,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_20109,1,2,266,50,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_20109,2,2,549,86,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_1868,1,2,92,12,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_1868,2,2,5390,702,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_48277,1,2,251,46,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_48277,2,2,298,51,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_954,1,2,33,9,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_954,2,2,1498,236,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_56497,1,2,215,37,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_56497,2,2,262,42,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_16077,1,2,313,47,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_16077,2,2,868,118,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_5611,1,2,300,46,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_5611,2,2,815,121,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_12436,1,2,287,51,1.0,1.0,1.0,1.0,1.0,1.0
